"","Names"
"1","STNID"
"2","LON"
"3","LAT"
"4","CHELSA_bio10_1979-2013_V1_1"
"5","CHELSA_bio11_1979-2013_V1_1"
"6","CHELSA_bio1_1979-2013_V1_1"
"7","CHELSA_bio12_1979-2013_V1_1"
"8","CHELSA_bio13_1979-2013_V1_1"
"9","CHELSA_bio14_1979-2013_V1_1"
"10","CHELSA_bio15_1979-2013_V1_1"
"11","CHELSA_bio16_1979-2013_V1_1"
"12","CHELSA_bio17_1979-2013_V1_1"
"13","CHELSA_bio18_1979-2013_V1_1"
"14","CHELSA_bio19_1979-2013_V1_1"
"15","CHELSA_bio2_1979-2013_V1_1"
"16","CHELSA_bio3_1979-2013_V1_1"
"17","CHELSA_bio4_1979-2013_V1_1"
"18","CHELSA_bio5_1979-2013_V1_1"
"19","CHELSA_bio6_1979-2013_V1_1"
"20","CHELSA_bio7_1979-2013_V1_1"
"21","CHELSA_bio8_1979-2013_V1_1"
"22","CHELSA_bio9_1979-2013_V1_1"
"23","CHELSA_prec_10_1979-2013"
"24","CHELSA_prec_11_1979-2013"
"25","CHELSA_prec_1_1979-2013"
"26","CHELSA_prec_12_1979-2013"
"27","CHELSA_prec_1979-2013_land"
"28","CHELSA_prec_2_1979-2013"
"29","CHELSA_prec_3_1979-2013"
"30","CHELSA_prec_4_1979-2013"
"31","CHELSA_prec_5_1979-2013"
"32","CHELSA_prec_6_1979-2013"
"33","CHELSA_prec_7_1979-2013"
"34","CHELSA_prec_8_1979-2013"
"35","CHELSA_prec_9_1979-2013"
"36","CHELSA_temp_10_1979-2013"
"37","CHELSA_temp_11_1979-2013"
"38","CHELSA_temp_1_1979-2013"
"39","CHELSA_temp_12_1979-2013"
"40","CHELSA_temp_1979-2013_land"
"41","CHELSA_temp_2_1979-2013"
"42","CHELSA_temp_3_1979-2013"
"43","CHELSA_temp_4_1979-2013"
"44","CHELSA_temp_5_1979-2013"
"45","CHELSA_temp_6_1979-2013"
"46","CHELSA_temp_7_1979-2013"
"47","CHELSA_temp_8_1979-2013"
"48","CHELSA_temp_9_1979-2013"
"49","MODCF_meanannual"
"50","MODCF_monthlymean_01"
"51","MODCF_monthlymean_02"
"52","MODCF_monthlymean_03"
"53","MODCF_monthlymean_04"
"54","MODCF_monthlymean_05"
"55","MODCF_monthlymean_06"
"56","MODCF_monthlymean_07"
"57","MODCF_monthlymean_08"
"58","MODCF_monthlymean_09"
"59","MODCF_monthlymean_10"
"60","MODCF_monthlymean_11"
"61","MODCF_monthlymean_12"
"62","MODCF_seasonality_concentration"
"63","ESACCI_snow_prob_Apr_500m"
"64","ESACCI_snow_prob_Aug_500m"
"65","ESACCI_snow_prob_Dec_500m"
"66","ESACCI_snow_prob_Feb_500m"
"67","ESACCI_snow_prob_Jan_500m"
"68","ESACCI_snow_prob_Jul_500m"
"69","ESACCI_snow_prob_Jun_500m"
"70","ESACCI_snow_prob_Mar_500m"
"71","ESACCI_snow_prob_May_500m"
"72","ESACCI_snow_prob_Nov_500m"
"73","ESACCI_snow_prob_Oct_500m"
"74","ESACCI_snow_prob_Sep_500m"
